file,start_time,end_time,cosine_similarity,mean_absolute_error,pearson_correlation,top_k_agreement,top_1_agreement,model1_top1_species,model1_top1_prob,model2_top1_species,model2_top1_prob
Blue_Jay_754900.mp3,3.0,6.0,0.019597673788666725,0.0001393021084368229,0.01798900030553341,0.0,0.0,None,0.0,Cyanocitta cristata Blue Jay (),0.61865234375
Blue_Jay_754900.mp3,6.0,6.9195625,0.3055337965488434,0.00013437998131848872,0.30338436365127563,0.2,0.0,Power tools Power tools (),0.037384033203125,Neoconocephalus bivocatus False Robust Conehead (),0.154052734375
Canada_Goose_20041.mp3,0.0,3.0,0.9504083395004272,0.00019281951244920492,0.9505794048309326,0.4,1.0,Siren Siren (),0.090087890625,Siren Siren (),0.7158203125
Canada_Goose_20041.mp3,3.0,3.84,0.5518496632575989,0.00010705630120355636,0.551520824432373,0.2,1.0,None,0.0,Siren Siren (),0.227783203125
Canada_Goose_20043.mp3,0.0,2.0958125,0.5312080383300781,0.00020786024106200784,0.5308122634887695,0.6,0.0,Power tools Power tools (),0.278076171875,Siren Siren (),0.498046875
Canada_Goose_231714.mp3,0.0,3.0,0.6973285675048828,0.00017812031728681177,0.6964001059532166,0.6,1.0,Branta canadensis Canada Goose (),0.11480712890625,Branta canadensis Canada Goose (),0.2142333984375
Canada_Goose_231714.mp3,3.0,6.0,0.5275370478630066,0.0001407656673109159,0.5251789093017578,0.2,0.0,Branta canadensis Canada Goose (),0.07073974609375,Siren Siren (),0.097900390625
Canada_Goose_231714.mp3,6.0,6.625,0.019606860354542732,0.00013726582983508706,0.016814470291137695,0.0,0.0,None,0.0,Power tools Power tools (),0.257080078125
Carolina_Wren_68646.mp3,0.0,3.0,0.9989070892333984,9.268794383388013e-05,0.9989291429519653,0.2,1.0,Thryothorus ludovicianus Carolina Wren (),0.9404296875,Thryothorus ludovicianus Carolina Wren (),0.93359375
Carolina_Wren_68646.mp3,3.0,3.318625,0.19507485628128052,0.0002185894118156284,0.1657859832048416,0.0,0.0,None,0.0,Power tools Power tools (),0.033477783203125
Eastern_Screech_Owl_610811.mp3,0.0,3.0,0.5793181657791138,0.00011485985305625945,0.5796623229980469,0.6,0.0,Megascops asio Eastern Screech-Owl (),0.322998046875,Strix aluco Tawny Owl (),0.0421142578125
Eastern_Screech_Owl_610811.mp3,3.0,6.0,0.36886459589004517,0.00021419653785414994,0.3669380843639374,0.2,0.0,Megascops kennicottii Western Screech-Owl (),0.1220703125,Megascops sanctaecatarinae Long-tufted Screech-Owl (),0.142578125
Eastern_Screech_Owl_610811.mp3,6.0,8.2663125,0.4242733120918274,0.00012498788419179618,0.4235738217830658,0.4,0.0,Megascops asio Eastern Screech-Owl (),0.1397705078125,Strix aluco Tawny Owl (),0.1307373046875
European_Starling_121375.mp3,0.0,3.0,0.00811422523111105,0.00019426252401899546,0.005079062655568123,0.0,0.0,Conocephalus brevipennis Short-winged Meadow Katydid (),0.227294921875,Arachnothera longirostra Little Spiderhunter (),0.06475830078125
European_Starling_121376.mp3,0.0,2.5500208333333334,0.039274200797080994,0.00011635184637270868,0.038290418684482574,0.0,0.0,Engine Engine (),0.08319091796875,Harpagus bidentatus Double-toothed Kite (),0.2010498046875
